personA,personALabel,propertyLabel,personB,personBLabel
http://www.wikidata.org/entity/Q121078208,Louis Vercruysse,moeder,http://www.wikidata.org/entity/Q121078322,Elisabeth Josèphe Thérèse van den Broeck
http://www.wikidata.org/entity/Q120855316,Ernest Albin Smith,huwelijkspartner,http://www.wikidata.org/entity/Q120855780,Lucy Weguelin
http://www.wikidata.org/entity/Q122842204,Mary Louisa Farbrother,huwelijkspartner,http://www.wikidata.org/entity/Q56174577,Charles Alban Buckler
http://www.wikidata.org/entity/Q116672748,Marie Elise Amandine Lateur,vader,http://www.wikidata.org/entity/Q117409336,Camille Lateur
http://www.wikidata.org/entity/Q116508871,Helena Amelia Walton,kind,http://www.wikidata.org/entity/Q119039938,Francis Lawrence Weale
http://www.wikidata.org/entity/Q123414712,Maria Juliana Lucia Delbaere,broer of zus,http://www.wikidata.org/entity/Q123416074,Henri Delbaere
http://www.wikidata.org/entity/Q118495679,Joannes Alberdingk,kind,http://www.wikidata.org/entity/Q1978794,Joseph Alberdingk Thijm
http://www.wikidata.org/entity/Q1978794,Joseph Alberdingk Thijm,broer of zus,http://www.wikidata.org/entity/Q784390,Paul Alberdingk Thijm
http://www.wikidata.org/entity/Q15982597,Monica De Vriese,kind,http://www.wikidata.org/entity/Q20902162,Louise Gezelle
http://www.wikidata.org/entity/Q116508871,Helena Amelia Walton,kind,http://www.wikidata.org/entity/Q122884757,Cyril James Weale
http://www.wikidata.org/entity/Q116660566,Florence Gezelle,broer of zus,http://www.wikidata.org/entity/Q20902162,Louise Gezelle
http://www.wikidata.org/entity/Q125351404,Louisa Maria Anna Verdbois,huwelijkspartner,http://www.wikidata.org/entity/Q125351679,Félix Pierre Victor Raikem
http://www.wikidata.org/entity/Q115837342,Constantinus Roelandts,broer of zus,http://www.wikidata.org/entity/Q115840234,Camiel Roelandts
http://www.wikidata.org/entity/Q125472556,Charles Grant Edmonstone,broer of zus,http://www.wikidata.org/entity/Q125472922,Robert John Stanislaw Edmonstone
http://www.wikidata.org/entity/Q117227189,Léonie Pauline Marie Bersou,huwelijkspartner,http://www.wikidata.org/entity/Q118772822,Albert Aimé Marie Vandewalle
http://www.wikidata.org/entity/Q116621699,Maria Magdalena Gezelle,broer of zus,http://www.wikidata.org/entity/Q2154331,Caesar Gezelle
http://www.wikidata.org/entity/Q116620937,Julienne Elise Van De Wiele,kind,http://www.wikidata.org/entity/Q122801933,Rafaël Debo
http://www.wikidata.org/entity/Q2606766,Gerard van Caloen OSB,broer of zus,http://www.wikidata.org/entity/Q3080591,Ernest Marie Joseph Martin Michel van Caloen
http://www.wikidata.org/entity/Q117244395,Romaan Gislijn Gezelle,kind,http://www.wikidata.org/entity/Q55770641,Jozef Gezelle
http://www.wikidata.org/entity/Q116687284,Agnes Mary Christophers,huwelijkspartner,http://www.wikidata.org/entity/Q122974430,Charles Joseph Pagliano
http://www.wikidata.org/entity/Q117244596,Hortense Gezelle,moeder,http://www.wikidata.org/entity/Q117244643,Philomena De Smet
http://www.wikidata.org/entity/Q119797432,Julianus Maria Isidorus Blancke,broer of zus,http://www.wikidata.org/entity/Q122779793,Delphine Frederica Marie Blancke
http://www.wikidata.org/entity/Q129121545,Oda Verriest,broer of zus,http://www.wikidata.org/entity/Q981444,Hugo Verriest
http://www.wikidata.org/entity/Q117244395,Romaan Gislijn Gezelle,huwelijkspartner,http://www.wikidata.org/entity/Q117244643,Philomena De Smet
http://www.wikidata.org/entity/Q116621699,Maria Magdalena Gezelle,vader,http://www.wikidata.org/entity/Q117244395,Romaan Gislijn Gezelle
