ID,Label,Type,Geslacht,Geboortedatum
Q98322098,Cyriel Delaere,Persoon,mannelijk,1861
Q125394996,Virginie Nyffels,Persoon,vrouwelijk,1825
Q123717111,Henri Dufour,Persoon,mannelijk,1853
Q118732552,Hortense Delbaere,Persoon,vrouwelijk,1842
Q115818151,Victor Beheyt,Persoon,mannelijk,1852
Q118766019,William Woodlock,Persoon,mannelijk,1801
Q2306925,Joseph-Olivier Andries,Persoon,mannelijk,1796
Q123689972,Camillus Delaere,Persoon,mannelijk,1860
Q120651810,René-François Flahault,Persoon,mannelijk,1838
Q120176244,Jan De Neve,Persoon,mannelijk,1836
Q117229566,Maria Philomena D'Hondt,Persoon,vrouwelijk,1838
Q115839353,Eduard Verraes,Persoon,mannelijk,1829
Q2638823,Alfons Janssens,Persoon,mannelijk,1841
Q4423628,Remi Ghesquiere,Persoon,mannelijk,1866
Q1950196,Karel Callebert,Persoon,mannelijk,1837
Q118289639,Katharine Woodlock,Persoon,vrouwelijk,1837
Q120727152,Jan Hendrik Loosveldt,Persoon,mannelijk,1835
Q115834833,Arthur Maria Gustavus Florimond Plettinck,Persoon,mannelijk,1861
Q115815004,Hendrik Mortier,Persoon,mannelijk,1835
Q2617184,Karel De Flou,Persoon,mannelijk,1853
Q115980136,Joannes Catulle,Persoon,mannelijk,1835
Q123741345,Julius Pieter Lodewijk Vantomme,Persoon,mannelijk,1811
Q115839380,Carolus Surmont,Persoon,mannelijk,1835
Q115819047,Constant Van Coillie,Persoon,mannelijk,1854
Q981444,Hugo Verriest,Persoon,mannelijk,1840
Q122818902,Bertha Wachowsky,Persoon,vrouwelijk,1843
Q122818902,Bertha Wachowsky,Persoon,vrouwelijk,1943
Q784390,Paul Alberdingk Thijm,Persoon,mannelijk,1827
Q2779054,Leonard Lodewijk De Bo,Persoon,mannelijk,1826
Q120897770,Armand Valcke,Persoon,mannelijk,1847
Q115829623,Bruno De Splenter,Persoon,mannelijk,1835
Q122842403,Augusta Lewis Bampfield,Persoon,vrouwelijk,1825
Q115840920,Augustus Declerc,Persoon,mannelijk,1831
Q115831509,Joseph Gezelle,Persoon,mannelijk,1840
Q2481707,Amand de Vos,Persoon,mannelijk,1840
Q115808465,Emile Vandale,Persoon,mannelijk,1839
Q822307,Bernard Bernard,Persoon,mannelijk,1821
Q115840228,Hendrik Prévost,Persoon,mannelijk,1834
Q2491266,Johan Winkler,Persoon,mannelijk,1840
Q120191174,Felix De Nolf,Persoon,mannelijk,
Q1707941,Joseph Ryelandt,Persoon,mannelijk,1870
Q119013806,Aloïs Van de Pitte,Persoon,mannelijk,1859
Q122872579,Jules Alphonse Marie Ghislain Verest,Persoon,mannelijk,1858
Q115835763,Gustaaf Van de Putte,Persoon,mannelijk,1853
Q122801530,Pauline Rosalie Bruneel,Persoon,vrouwelijk,1820
Q20604626,J.H.J. van Wageningen thoe Dekema,Persoon,mannelijk,1860
