person,personLabel,rolItem,rolLabel,richting,wikidataLink,wikipediaLink,commonsLink,image,bioPortaalLink,viafLink
http://www.wikidata.org/entity/Q136793932,Adèle Serweytens,http://www.wikidata.org/entity/Q28008277,bekende,Persoon naar Guido,https://www.wikidata.org/wiki/Q136793932,,,,,
http://www.wikidata.org/entity/Q115811921,Alexandre Berghman,http://www.wikidata.org/entity/Q28008277,bekende,Persoon naar Guido,https://www.wikidata.org/wiki/Q115811921,,,,,
http://www.wikidata.org/entity/Q129255433,Ann Mary Eyre,http://www.wikidata.org/entity/Q28008277,bekende,Persoon naar Guido,https://www.wikidata.org/wiki/Q129255433,,,,,
http://www.wikidata.org/entity/Q117263671,Caroline Janssens,http://www.wikidata.org/entity/Q28008277,bekende,Persoon naar Guido,https://www.wikidata.org/wiki/Q117263671,,,,,
http://www.wikidata.org/entity/Q136805616,Charles François Joseph Soudan,http://www.wikidata.org/entity/Q28008277,bekende,Persoon naar Guido,https://www.wikidata.org/wiki/Q136805616,,,,,
http://www.wikidata.org/entity/Q122791372,Franciscus Leopoldus De Backere,http://www.wikidata.org/entity/Q28008277,bekende,Persoon naar Guido,https://www.wikidata.org/wiki/Q122791372,,,,,
http://www.wikidata.org/entity/Q119794240,Hendrik Berghman,http://www.wikidata.org/entity/Q28008277,bekende,Persoon naar Guido,https://www.wikidata.org/wiki/Q119794240,,,,,
http://www.wikidata.org/entity/Q126648476,Joseph Antonius Maria Ghislenus Anastasius Johannes Nepomucenus de Pélichy,http://www.wikidata.org/entity/Q28008277,bekende,Persoon naar Guido,https://www.wikidata.org/wiki/Q126648476,,,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20de%20Pelichy.jpg,,
http://www.wikidata.org/entity/Q136814371,Louis Jean Van den Bilcke,http://www.wikidata.org/entity/Q28008277,bekende,Persoon naar Guido,https://www.wikidata.org/wiki/Q136814371,,,,,
http://www.wikidata.org/entity/Q128053464,Marie Thérèse Courtens,http://www.wikidata.org/entity/Q28008277,bekende,Persoon naar Guido,https://www.wikidata.org/wiki/Q128053464,,,,,
http://www.wikidata.org/entity/Q126913566,Valeer Alfons Vansteenhuyse,http://www.wikidata.org/entity/Q28008277,bekende,Persoon naar Guido,https://www.wikidata.org/wiki/Q126913566,,,,,
http://www.wikidata.org/entity/Q129256307,Vincent William Eyre,http://www.wikidata.org/entity/Q28008277,bekende,Persoon naar Guido,https://www.wikidata.org/wiki/Q129256307,,,,,
http://www.wikidata.org/entity/Q129256364,William Henry Eyre,http://www.wikidata.org/entity/Q28008277,bekende,Persoon naar Guido,https://www.wikidata.org/wiki/Q129256364,,,,,
