ID,Label,Type,relatietype,SpecificRelatietype,richting,wikidataLink,wikipediaLink,commonsLink,image,bioPortaalLink,viafLink
Q336977,Guido Gezelle,Persoon,Centrale figuur,Centrale figuur,Centrale figuur,https://www.wikidata.org/wiki/Q336977,https://nl.wikipedia.org/wiki/Guido_Gezelle,https://commons.wikimedia.org/wiki/Category:Guido_Gezelle,https://commons.wikimedia.org/wiki/Category:Guido_Gezelle#/media/File:Guido_Gezelle.jpg,,https://viaf.org/en/viaf/71428001
Q115818424,Achiel Piepers,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q115818424,,,,,
Q119013873,Achiel Van de Putte,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q119013873,,,,,
Q119217729,Achille Croquison,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q119217729,,,,,
Q115834468,Achilles Bohyn,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q115834468,,,,,
Q123417058,Adela Pauline Courtens,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q123417058,,,,,
Q125306156,Adelaida Antonia Vuylsteke,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q125306156,,,,,
Q136793932,Adèle Serweytens,Persoon,relevant persoon,bekende,Guido naar Persoon,https://www.wikidata.org/wiki/Q136793932,,,,,
Q113754119,Adolf De Wolf,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q113754119,https://nl.wikipedia.org/wiki/Adolf_De_Wolf,,,,
Q2524668,Adolf Duclos,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q2524668,https://nl.wikipedia.org/wiki/Adolf_Duclos,https://commons.wikimedia.org/wiki/Category:Adolf Duclos,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Duclos001.jpg,,https://viaf.org/viaf/89293479
Q4722117,Adolf Lootens,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q4722117,https://nl.wikipedia.org/wiki/Adolf_Lootens,,,,https://viaf.org/viaf/281835917
Q43140929,Adolf Pauwels,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q43140929,,,,,https://viaf.org/viaf/27812240
Q100534520,Adolf Verriest,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q100534520,https://nl.wikipedia.org/wiki/Adolf_Verriest,,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Karel%20vader%20Petrus%20moeder%20Carolina%20Verriest%20in%201861.jpg,,
Q5580544,Adrianus Bogaers,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q5580544,,https://commons.wikimedia.org/wiki/Category:Adrianus Bogaers,http://commons.wikimedia.org/wiki/Special:FilePath/Adrianus%20Bogaers.jpg,,https://viaf.org/viaf/282197539
Q123051567,Agnes Cecilia Young,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q123051567,,,,,
Q115814290,Aimé Erneste Marie Dierick,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q115814290,,,,,
Q115834690,Aimé Lagae,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q115834690,,,,,
Q15627098,Albany James Christie,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q15627098,,,,,https://viaf.org/viaf/199151458
Q2129415,Albéric Goethals,Persoon,relevant persoon,correspondent,Guido naar Persoon,https://www.wikidata.org/wiki/Q2129415,https://nl.wikipedia.org/wiki/Alb%C3%A9ric_Goethals,,,,
Q118772822,Albert Aimé Marie Vandewalle,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q118772822,,,,,
Q586323,Albert Verwey,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q586323,https://nl.wikipedia.org/wiki/Albert_Verwey,https://commons.wikimedia.org/wiki/Category:Albert Verwey,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Albert%20Verwey%20Rijksmuseum%20SK-C-1680.jpeg,,https://viaf.org/viaf/49275816
Q115811921,Alexandre Berghman,Persoon,relevant persoon,bekende,Guido naar Persoon,https://www.wikidata.org/wiki/Q115811921,,,,,
Q56036018,Alexandre Bonvarlet,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q56036018,,https://commons.wikimedia.org/wiki/Category:Alexandre Bonvarlet,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Bonvarlet%20by%20Michel%20Berthaud.jpg,,https://viaf.org/viaf/7516908
Q125490771,Alexandre Marie Ghislain Gillès de Pélichy,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q125490771,,,,,https://viaf.org/viaf/192623448
Q2332586,Alexis De Carne,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q2332586,https://nl.wikipedia.org/wiki/Alexis_De_Carne,,,,
Q119729450,Alfons Algoet,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q119729450,,,,,
Q118142378,Alfons Bouckaert,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q118142378,,,,,
Q110039191,Alfons Dassonville,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q110039191,,,,,
Q2100582,Alfons De Cock,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q2100582,https://nl.wikipedia.org/wiki/Alfons_de_Cock,https://commons.wikimedia.org/wiki/Category:Alfons De Cock,http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20de%20Cock%2C%20PA05233.jpg,,https://viaf.org/viaf/34816409
Q2638823,Alfons Janssens,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q2638823,https://nl.wikipedia.org/wiki/Alfons_Janssens_(politicus),https://commons.wikimedia.org/wiki/Category:Alfons Janssens,http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20Janssens.jpg,,
Q56036059,Alfons Maria Napoleon Prayon-van Zuylen van Nyevelt,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q56036059,,,,,https://viaf.org/viaf/89687993
Q2675588,Alfons Mervillie,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q2675588,https://nl.wikipedia.org/wiki/Alfons_Mervillie,https://commons.wikimedia.org/wiki/Category:Alfons Mervillie,,,https://viaf.org/viaf/306134590
Q2539969,Alfons Siffer,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q2539969,https://nl.wikipedia.org/wiki/Alfons_Siffer,,http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20Siffer%201850-1941.jpg,,https://viaf.org/viaf/193449593
Q119621396,Alfons Steinmetz,Persoon,relevant persoon,vriend,Guido naar Persoon,https://www.wikidata.org/wiki/Q119621396,,,,,
Q120973166,Alfons Van Doorne,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q120973166,,,,,
Q2050293,Alfons Van Hee,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q2050293,https://nl.wikipedia.org/wiki/Alfons_Van_Hee,,,,
Q26845752,Alfred Guichon de Grandpont,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q26845752,,,,,https://viaf.org/viaf/88981493
Q115820635,Alfred Neut,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q115820635,,,,,
Q115821483,Aloïs Baelen,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q115821483,,,,,
Q2580620,Aloïs Nelis,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q2580620,https://nl.wikipedia.org/wiki/Alo%C3%AFs_Nelis,,,,
Q119013806,Aloïs Van de Pitte,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q119013806,,,,,
Q2298746,Aloïs Walgrave,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q2298746,https://nl.wikipedia.org/wiki/Alo%C3%AFs_Walgrave,https://commons.wikimedia.org/wiki/Category:Aloïs Walgrave,,,https://viaf.org/viaf/61918346
Q115815697,Aloysius De Visschere,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q115815697,,,,,
Q115833316,Aloysius Farasyn,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q115833316,,,,,
Q115979418,Aloysius Vandemaele,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q115979418,,,,,
Q2450554,Alphonse De Leyn,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q2450554,https://nl.wikipedia.org/wiki/Alphonse_De_Leyn,,,,https://viaf.org/viaf/4993145857103622920901
Q11071766,Alphonse de Voss,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q11071766,,,,,
Q136793801,Alphonse Marie Joseph Ghislain Antoine Maus,Persoon,relevant persoon,bekende,Guido naar Persoon,https://www.wikidata.org/wiki/Q136793801,,,,,
Q2099446,Amaat Joos,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q2099446,https://nl.wikipedia.org/wiki/Amaat_Joos,,http://commons.wikimedia.org/wiki/Special:FilePath/Amaat%20Joos.jpg,,https://viaf.org/viaf/290811985
Q3421496,Amaat Vyncke,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q3421496,https://nl.wikipedia.org/wiki/Amaat_Vyncke,https://commons.wikimedia.org/wiki/Category:Amaat Vyncke,http://commons.wikimedia.org/wiki/Special:FilePath/Amaat%20Vyncke.jpg,,https://viaf.org/viaf/286791405
Q2481707,Amand de Vos,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q2481707,https://nl.wikipedia.org/wiki/Amand_de_Vos,,http://commons.wikimedia.org/wiki/Special:FilePath/Wazenaar%20Amand%20de%20Vos.jpg,,https://viaf.org/viaf/74219351
Q970036,Amand Neut,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q970036,,,,,
Q136750770,Amandus Cornelius Dequidt,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q136750770,,,,,
Q115811033,Amandus Dambre,Persoon,student,student,Guido naar Persoon,https://www.wikidata.org/wiki/Q115811033,,,,,
Q115831039,Amandus Devloo,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q115831039,,,,,
Q119349594,Amelia De Vriese,Persoon,familielid,tante,Guido naar Persoon,https://www.wikidata.org/wiki/Q119349594,,,,,
Q131923924,Amélie Emérentine Joseph Mullier,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q131923924,,,,,
Q122831276,Amélie Frère,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q122831276,,,,,
Q119039774,Andries J. Winkler,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q119039774,,,,,
Q13429634,Angelus August Eugeen Angillis,Persoon,relevant persoon,klasgenoot,Guido naar Persoon,https://www.wikidata.org/wiki/Q13429634,https://nl.wikipedia.org/wiki/Angelus_August_Eugeen_Angillis,,,,https://viaf.org/viaf/289004073
Q115842281,Angelus Dumelie,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q115842281,,,,,
Q123050649,Ann Jordan,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q123050649,,,,,
Q129255433,Ann Mary Eyre,Persoon,relevant persoon,bekende,Guido naar Persoon,https://www.wikidata.org/wiki/Q129255433,,,,,
Q116656531,Anna Demets,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q116656531,https://nl.wikipedia.org/wiki/Anna_Demets,,http://commons.wikimedia.org/wiki/Special:FilePath/Portretfoto%20Anna%20Demets.jpg,,
Q119261055,Anna Theresia Morice,Persoon,familielid,grootmoeder,Guido naar Persoon,https://www.wikidata.org/wiki/Q119261055,,,,,
Q116508558,Anne Hill,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q116508558,,,,,
Q115830433,Antoine Wemaer,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q115830433,https://nl.wikipedia.org/wiki/Antoon_Wemaer,,,,
Q2360599,Antoon Jozef Witteryck,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q2360599,https://nl.wikipedia.org/wiki/Antoon_Jozef_Witteryck,https://commons.wikimedia.org/wiki/Category:Antoon Jozef Witteryck,http://commons.wikimedia.org/wiki/Special:FilePath/Wytterick%2023.JPG,,https://viaf.org/viaf/10953367
Q62117109,Antoon Verwaetermeulen,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q62117109,,,,,
Q120897770,Armand Valcke,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q120897770,,,,,
Q115979140,Arsenius Dehulster,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q115979140,,,,,
Q3450211,Arthur De Schrevel,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q3450211,https://nl.wikipedia.org/wiki/Arthur_De_Schrevel,,,,https://viaf.org/viaf/22517057
Q122971839,Arthur Jean Botte,Persoon,relevant persoon,briefschrijver,Guido naar Persoon,https://www.wikidata.org/wiki/Q122971839,,,,,
