person,personLabel,institution,institutionLabel,institutionTypeLabel,imageLink
http://www.wikidata.org/entity/Q115834468,Achilles Bohyn,http://www.wikidata.org/entity/Q47113423,Sint-Antoniuscollege te Ronse,http://www.wikidata.org/prop/direct/P108,
http://www.wikidata.org/entity/Q51168899,Victor Lambrecht,http://www.wikidata.org/entity/Q42197335,Met Tijd en Vlijt,http://www.wikidata.org/prop/direct/P463,
http://www.wikidata.org/entity/Q116660566,Florence Gezelle,http://www.wikidata.org/entity/Q123425604,Comité des Dames Zélatrices de l'oeuvre des Missions du Pôle Nord,http://www.wikidata.org/prop/direct/P463,
http://www.wikidata.org/entity/Q2191260,Gustave Waffelaert,http://www.wikidata.org/entity/Q15882061,Sint-Vincentiuscollege (Ieper),http://www.wikidata.org/prop/direct/P69,
http://www.wikidata.org/entity/Q119690392,Edmond Wallays,http://www.wikidata.org/entity/Q482622,Genootschap voor Buitenlandse Missiën te Parijs,http://www.wikidata.org/prop/direct/P69,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20in%20Paris.jpg
http://www.wikidata.org/entity/Q119690392,Edmond Wallays,http://www.wikidata.org/entity/Q482622,Genootschap voor Buitenlandse Missiën te Parijs,http://www.wikidata.org/prop/direct/P463,http://commons.wikimedia.org/wiki/Special:FilePath/MEP%20in%20Paris.jpg
http://www.wikidata.org/entity/Q13575404,Edward Van Even,http://www.wikidata.org/entity/Q50412149,Stadsarchief Leuven,http://www.wikidata.org/prop/direct/P108,
http://www.wikidata.org/entity/Q3166510,Johan Joseph Faict,http://www.wikidata.org/entity/Q120650189,Congregatie van de Grauwzusters Franciscanessen (Roeselare),http://www.wikidata.org/prop/direct/P108,
http://www.wikidata.org/entity/Q175669,Stijn Streuvels,http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/prop/direct/P463,http://commons.wikimedia.org/wiki/Special:FilePath/Gent%20-%20Hotel%20van%20Oombergen%201.jpg
http://www.wikidata.org/entity/Q55232762,Julius Obrie,http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/prop/direct/P463,http://commons.wikimedia.org/wiki/Special:FilePath/Gent%20-%20Hotel%20van%20Oombergen%201.jpg
http://www.wikidata.org/entity/Q123742237,Odilon Van Den Berghe,http://www.wikidata.org/entity/Q644789,Katholieke Universiteit te Leuven,http://www.wikidata.org/prop/direct/P69,http://commons.wikimedia.org/wiki/Special:FilePath/Castle%20Arenberg%2C%20Katholieke%20Universiteit%20Leuven%20adj.jpg
http://www.wikidata.org/entity/Q118998471,Denis Auguste Julien Roger,http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/prop/direct/P69,http://commons.wikimedia.org/wiki/Special:FilePath/Sint-Lodewijkscollege%20Brugge.jpg
http://www.wikidata.org/entity/Q6242432,Pieter Willems,http://www.wikidata.org/entity/Q644789,Katholieke Universiteit te Leuven,http://www.wikidata.org/prop/direct/P69,http://commons.wikimedia.org/wiki/Special:FilePath/Castle%20Arenberg%2C%20Katholieke%20Universiteit%20Leuven%20adj.jpg
http://www.wikidata.org/entity/Q6242432,Pieter Willems,http://www.wikidata.org/entity/Q644789,Katholieke Universiteit te Leuven,http://www.wikidata.org/prop/direct/P108,http://commons.wikimedia.org/wiki/Special:FilePath/Castle%20Arenberg%2C%20Katholieke%20Universiteit%20Leuven%20adj.jpg
http://www.wikidata.org/entity/Q115979994,Henricus De Badts,http://www.wikidata.org/entity/Q2479554,Grootseminarie van Brugge,http://www.wikidata.org/prop/direct/P69,http://commons.wikimedia.org/wiki/Special:FilePath/Brugge%20H.-Maagd-Mariakerk%20Grootseminarie.JPG
http://www.wikidata.org/entity/Q120377148,Hendrik Dobbelaere,http://www.wikidata.org/entity/Q1867263,Klein Seminarie Roeselare,http://www.wikidata.org/prop/direct/P69,http://commons.wikimedia.org/wiki/Special:FilePath/Roeselare%20Augustijnenkerk%20Klein%20Seminarie.jpg
http://www.wikidata.org/entity/Q120504176,François De Brouwer,http://www.wikidata.org/entity/Q2479554,Grootseminarie van Brugge,http://www.wikidata.org/prop/direct/P108,http://commons.wikimedia.org/wiki/Special:FilePath/Brugge%20H.-Maagd-Mariakerk%20Grootseminarie.JPG
http://www.wikidata.org/entity/Q119690392,Edmond Wallays,http://www.wikidata.org/entity/Q119702334,Confraternity of the Blessed Sacrament,http://www.wikidata.org/prop/direct/P463,
http://www.wikidata.org/entity/Q120377148,Hendrik Dobbelaere,http://www.wikidata.org/entity/Q118464788,Engels Seminarie,http://www.wikidata.org/prop/direct/P69,
http://www.wikidata.org/entity/Q13575404,Edward Van Even,http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/prop/direct/P463,http://commons.wikimedia.org/wiki/Special:FilePath/Gent%20-%20Hotel%20van%20Oombergen%201.jpg
http://www.wikidata.org/entity/Q2191260,Gustave Waffelaert,http://www.wikidata.org/entity/Q2479554,Grootseminarie van Brugge,http://www.wikidata.org/prop/direct/P69,http://commons.wikimedia.org/wiki/Special:FilePath/Brugge%20H.-Maagd-Mariakerk%20Grootseminarie.JPG
http://www.wikidata.org/entity/Q2191260,Gustave Waffelaert,http://www.wikidata.org/entity/Q2479554,Grootseminarie van Brugge,http://www.wikidata.org/prop/direct/P108,http://commons.wikimedia.org/wiki/Special:FilePath/Brugge%20H.-Maagd-Mariakerk%20Grootseminarie.JPG
http://www.wikidata.org/entity/Q6242432,Pieter Willems,http://www.wikidata.org/entity/Q42197335,Met Tijd en Vlijt,http://www.wikidata.org/prop/direct/P463,
http://www.wikidata.org/entity/Q51168899,Victor Lambrecht,http://www.wikidata.org/entity/Q644789,Katholieke Universiteit te Leuven,http://www.wikidata.org/prop/direct/P69,http://commons.wikimedia.org/wiki/Special:FilePath/Castle%20Arenberg%2C%20Katholieke%20Universiteit%20Leuven%20adj.jpg
http://www.wikidata.org/entity/Q55232762,Julius Obrie,http://www.wikidata.org/entity/Q2499618,Koninklijk Atheneum Voskenslaan,http://www.wikidata.org/prop/direct/P69,
http://www.wikidata.org/entity/Q6242432,Pieter Willems,http://www.wikidata.org/entity/Q2690997,Davidsfonds,http://www.wikidata.org/prop/direct/P463,http://commons.wikimedia.org/wiki/Special:FilePath/Jaarboek1897Davidsfonds.jpg
http://www.wikidata.org/entity/Q28973684,Hippoliet Haerynck,http://www.wikidata.org/entity/Q118559268,Koninklijk Atheneum Brussel,http://www.wikidata.org/prop/direct/P108,
http://www.wikidata.org/entity/Q28973684,Hippoliet Haerynck,http://www.wikidata.org/entity/Q118559307,Liberale Vlaamsche Bond,http://www.wikidata.org/prop/direct/P463,
http://www.wikidata.org/entity/Q3166510,Johan Joseph Faict,http://www.wikidata.org/entity/Q2479554,Grootseminarie van Brugge,http://www.wikidata.org/prop/direct/P108,http://commons.wikimedia.org/wiki/Special:FilePath/Brugge%20H.-Maagd-Mariakerk%20Grootseminarie.JPG
http://www.wikidata.org/entity/Q118998471,Denis Auguste Julien Roger,http://www.wikidata.org/entity/Q1930349,Rechtbank van eerste aanleg,http://www.wikidata.org/prop/direct/P108,
http://www.wikidata.org/entity/Q120504176,François De Brouwer,http://www.wikidata.org/entity/Q1867263,Klein Seminarie Roeselare,http://www.wikidata.org/prop/direct/P108,http://commons.wikimedia.org/wiki/Special:FilePath/Roeselare%20Augustijnenkerk%20Klein%20Seminarie.jpg
http://www.wikidata.org/entity/Q6242432,Pieter Willems,http://www.wikidata.org/entity/Q2822396,Turijnse Academie van Wetenschappen,http://www.wikidata.org/prop/direct/P463,http://commons.wikimedia.org/wiki/Special:FilePath/Palazzo%20dell%27Academia%20delle%20scienze%20Torino.jpg
http://www.wikidata.org/entity/Q2191260,Gustave Waffelaert,http://www.wikidata.org/entity/Q1867263,Klein Seminarie Roeselare,http://www.wikidata.org/prop/direct/P69,http://commons.wikimedia.org/wiki/Special:FilePath/Roeselare%20Augustijnenkerk%20Klein%20Seminarie.jpg
http://www.wikidata.org/entity/Q115979994,Henricus De Badts,http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/prop/direct/P108,http://commons.wikimedia.org/wiki/Special:FilePath/Sint-Lodewijkscollege%20Brugge.jpg
http://www.wikidata.org/entity/Q6242432,Pieter Willems,http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/prop/direct/P463,http://commons.wikimedia.org/wiki/Special:FilePath/Gent%20-%20Hotel%20van%20Oombergen%201.jpg
http://www.wikidata.org/entity/Q120504176,François De Brouwer,http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/prop/direct/P69,http://commons.wikimedia.org/wiki/Special:FilePath/Sint-Lodewijkscollege%20Brugge.jpg
http://www.wikidata.org/entity/Q120377148,Hendrik Dobbelaere,http://www.wikidata.org/entity/Q119702334,Confraternity of the Blessed Sacrament,http://www.wikidata.org/prop/direct/P463,
http://www.wikidata.org/entity/Q114945031,Livinus Bruneel,http://www.wikidata.org/entity/Q2479554,Grootseminarie van Brugge,http://www.wikidata.org/prop/direct/P108,http://commons.wikimedia.org/wiki/Special:FilePath/Brugge%20H.-Maagd-Mariakerk%20Grootseminarie.JPG
http://www.wikidata.org/entity/Q121000890,Theofiel Van Heuverswyn,http://www.wikidata.org/entity/Q125776794,God en recht,http://www.wikidata.org/prop/direct/P463,
http://www.wikidata.org/entity/Q3166510,Johan Joseph Faict,http://www.wikidata.org/entity/Q1867263,Klein Seminarie Roeselare,http://www.wikidata.org/prop/direct/P108,http://commons.wikimedia.org/wiki/Special:FilePath/Roeselare%20Augustijnenkerk%20Klein%20Seminarie.jpg
http://www.wikidata.org/entity/Q2191260,Gustave Waffelaert,http://www.wikidata.org/entity/Q33117,Zusters van Sint-Jozef,http://www.wikidata.org/prop/direct/P108,
http://www.wikidata.org/entity/Q55232762,Julius Obrie,http://www.wikidata.org/entity/Q1137665,Universiteit Gent,http://www.wikidata.org/prop/direct/P69,http://commons.wikimedia.org/wiki/Special:FilePath/Boekentoren%202010PM%201184%2021H9022.JPG
