Source,Target,Type,Weight,Relatie Type
Q100534520,Q1867263,Undirected,1,Onderwijsinstelling
Q100534520,Q644789,Undirected,1,Onderwijsinstelling
Q101627274,Q2985460,Undirected,1,Lid van
Q101627274,Q119853947,Undirected,1,Werkgever
Q101627274,Q118369334,Undirected,1,Werkgever
Q110039159,Q118369334,Undirected,1,Onderwijsinstelling
Q110039159,Q1867263,Undirected,1,Onderwijsinstelling
Q110039159,Q2663876,Undirected,1,Werkgever
Q110039159,Q2479554,Undirected,1,Onderwijsinstelling
Q110039159,Q113951185,Undirected,1,Lid van
Q110039159,Q644789,Undirected,1,Onderwijsinstelling
Q110039159,Q50492927,Undirected,1,Lid van
Q110039170,Q15882061,Undirected,1,Werkgever
Q110039170,Q118369334,Undirected,1,Werkgever
Q110039170,Q118456609,Undirected,1,Onderwijsinstelling
Q110039170,Q2663876,Undirected,1,Werkgever
Q110039170,Q2690997,Undirected,1,Lid van
Q110039178,Q15882061,Undirected,1,Onderwijsinstelling
Q110039178,Q118369084,Undirected,1,Lid van
Q110039178,Q118370108,Undirected,1,Werkgever
Q110039178,Q2663876,Undirected,1,Werkgever
Q110039180,Q15882061,Undirected,1,Onderwijsinstelling
Q110039180,Q118369084,Undirected,1,Lid van
Q110039180,Q1867263,Undirected,1,Onderwijsinstelling
Q110039180,Q2479554,Undirected,1,Onderwijsinstelling
Q110039180,Q644789,Undirected,1,Onderwijsinstelling
Q110039191,Q2185331,Undirected,1,Werkgever
Q110039191,Q2480833,Undirected,1,Werkgever
Q110039191,Q2663876,Undirected,1,Werkgever
Q110039191,Q2018402,Undirected,1,Werkgever
Q110039191,Q2139232,Undirected,1,Werkgever
Q110039191,Q231768,Undirected,1,Werkgever
Q110039252,Q1867263,Undirected,1,Onderwijsinstelling
Q110039252,Q1867263,Undirected,1,Werkgever
Q110039252,Q2479554,Undirected,1,Werkgever
Q110039252,Q120650189,Undirected,1,Werkgever
Q110039260,Q120721459,Undirected,1,Onderwijsinstelling
Q110039260,Q120721497,Undirected,1,Onderwijsinstelling
Q110039260,Q120721543,Undirected,1,Onderwijsinstelling
Q110039361,Q125919486,Undirected,1,Werkgever
Q110039361,Q95909676,Undirected,1,Werkgever
Q110039361,Q2000918,Undirected,1,Werkgever
Q11029222,Q4648351,Undirected,1,Onderwijsinstelling
Q11029222,Q4648351,Undirected,1,Werkgever
Q11071766,Q119702334,Undirected,1,Lid van
Q11071766,Q113988659,Undirected,1,Onderwijsinstelling
Q11071766,Q118464788,Undirected,1,Onderwijsinstelling
Q11071766,Q1867263,Undirected,1,Onderwijsinstelling
Q111342238,Q45262579,Undirected,1,Lid van
Q111342238,Q2663876,Undirected,1,Onderwijsinstelling
Q111744944,Q109663038,Undirected,1,Werkgever
