Source,Target,Type,RelationType,Weight
Q336977,Q115818424,Directed,relevant persoon,1
Q336977,Q119013873,Directed,relevant persoon,1
Q336977,Q119217729,Directed,relevant persoon,1
Q336977,Q115834468,Directed,relevant persoon,1
Q336977,Q123417058,Directed,relevant persoon,1
Q336977,Q125306156,Directed,relevant persoon,1
Q336977,Q113754119,Directed,relevant persoon,1
Q336977,Q113754119,Directed,student,1
Q336977,Q2524668,Directed,relevant persoon,1
Q336977,Q4722117,Directed,relevant persoon,1
Q336977,Q43140929,Directed,relevant persoon,1
Q336977,Q100534520,Directed,relevant persoon,1
Q336977,Q5580544,Directed,relevant persoon,1
Q336977,Q136793932,Directed,relevant persoon,1
Q336977,Q123051567,Directed,relevant persoon,1
Q336977,Q115814290,Directed,relevant persoon,1
Q336977,Q115834690,Directed,relevant persoon,1
Q336977,Q15627098,Directed,relevant persoon,1
Q336977,Q118772822,Directed,relevant persoon,1
Q336977,Q586323,Directed,relevant persoon,1
Q336977,Q2129415,Directed,relevant persoon,1
Q336977,Q115811921,Directed,relevant persoon,1
Q336977,Q56036018,Directed,relevant persoon,1
Q336977,Q125490771,Directed,relevant persoon,1
Q336977,Q2332586,Directed,relevant persoon,1
Q336977,Q119729450,Directed,relevant persoon,1
Q336977,Q118142378,Directed,relevant persoon,1
Q336977,Q110039191,Directed,relevant persoon,1
Q336977,Q2100582,Directed,relevant persoon,1
Q336977,Q2638823,Directed,relevant persoon,1
Q336977,Q56036059,Directed,relevant persoon,1
Q336977,Q2675588,Directed,relevant persoon,1
Q336977,Q2539969,Directed,relevant persoon,1
Q336977,Q119621396,Directed,relevant persoon,1
Q336977,Q120973166,Directed,relevant persoon,1
Q336977,Q2050293,Directed,relevant persoon,1
Q336977,Q26845752,Directed,relevant persoon,1
Q336977,Q115820635,Directed,relevant persoon,1
Q336977,Q115815697,Directed,relevant persoon,1
Q336977,Q115833316,Directed,relevant persoon,1
Q336977,Q115979418,Directed,relevant persoon,1
Q336977,Q115979418,Directed,student,1
Q336977,Q115821483,Directed,relevant persoon,1
Q336977,Q2580620,Directed,relevant persoon,1
Q336977,Q119013806,Directed,relevant persoon,1
Q336977,Q2298746,Directed,relevant persoon,1
Q336977,Q2450554,Directed,relevant persoon,1
Q336977,Q136793801,Directed,relevant persoon,1
Q336977,Q11071766,Directed,relevant persoon,1
Q336977,Q11071766,Directed,student,1
Q336977,Q2099446,Directed,relevant persoon,1
Q336977,Q3421496,Directed,relevant persoon,1
Q336977,Q970036,Directed,relevant persoon,1
Q336977,Q2481707,Directed,relevant persoon,1
Q336977,Q2481707,Directed,relevant persoon,1
Q336977,Q136750770,Directed,relevant persoon,1
Q336977,Q115811033,Directed,student,1
Q336977,Q115831039,Directed,relevant persoon,1
Q336977,Q119349594,Directed,familielid,1
Q336977,Q131923924,Directed,relevant persoon,1
Q336977,Q122831276,Directed,relevant persoon,1
Q336977,Q119039774,Directed,relevant persoon,1
Q336977,Q13429634,Directed,relevant persoon,1
Q336977,Q115842281,Directed,relevant persoon,1
Q336977,Q123050649,Directed,relevant persoon,1
Q336977,Q129255433,Directed,relevant persoon,1
Q336977,Q116656531,Directed,relevant persoon,1
Q336977,Q119261055,Directed,familielid,1
Q336977,Q116508558,Directed,relevant persoon,1
Q336977,Q115830433,Directed,relevant persoon,1
Q336977,Q2360599,Directed,relevant persoon,1
Q336977,Q62117109,Directed,relevant persoon,1
Q336977,Q120897770,Directed,relevant persoon,1
Q336977,Q115979140,Directed,relevant persoon,1
Q336977,Q3450211,Directed,relevant persoon,1
Q336977,Q122971839,Directed,relevant persoon,1
Q336977,Q115818861,Directed,relevant persoon,1
Q336977,Q115834833,Directed,relevant persoon,1
Q336977,Q120164850,Directed,relevant persoon,1
Q336977,Q115979812,Directed,relevant persoon,1
Q336977,Q2215154,Directed,relevant persoon,1
Q336977,Q120639934,Directed,relevant persoon,1
Q336977,Q115818168,Directed,relevant persoon,1
Q336977,Q115839088,Directed,relevant persoon,1
Q336977,Q119625085,Directed,relevant persoon,1
Q336977,Q764378,Directed,relevant persoon,1
Q336977,Q125535110,Directed,relevant persoon,1
Q336977,Q122842403,Directed,relevant persoon,1
Q336977,Q117246862,Directed,relevant persoon,1
Q336977,Q2490990,Directed,relevant persoon,1
Q336977,Q2658862,Directed,relevant persoon,1
Q336977,Q115813025,Directed,relevant persoon,1
Q336977,Q120999304,Directed,relevant persoon,1
Q336977,Q115825488,Directed,relevant persoon,1
Q336977,Q115844105,Directed,relevant persoon,1
Q336977,Q115979130,Directed,relevant persoon,1
Q336977,Q115979130,Directed,student,1
Q336977,Q115835531,Directed,relevant persoon,1
Q336977,Q115840920,Directed,relevant persoon,1
Q336977,Q115823355,Directed,relevant persoon,1
Q336977,Q119409510,Directed,familielid,1
Q336977,Q4865289,Directed,relevant persoon,1
Q336977,Q115826830,Directed,relevant persoon,1
Q336977,Q120488140,Directed,student,1
Q336977,Q822307,Directed,relevant persoon,1
Q336977,Q122884053,Directed,relevant persoon,1
Q336977,Q115812384,Directed,relevant persoon,1
Q336977,Q115829742,Directed,student van,1
Q336977,Q115829742,Directed,relevant persoon,1
