correspondent,correspondentLabel,image,birthPlaceLabel,birthCountryLabel,deathPlaceLabel,deathCountryLabel,residencePlaceLabel,residenceCountryLabel,workPlaceLabel,workCountryLabel
http://www.wikidata.org/entity/Q115818424,Achiel Piepers,,Kuurne,België,Ardooie,België,,,Brugge,België
http://www.wikidata.org/entity/Q115818424,Achiel Piepers,,Kuurne,België,Ardooie,België,,,Kortrijk,België
http://www.wikidata.org/entity/Q115818424,Achiel Piepers,,Kuurne,België,Ardooie,België,,,Oostende,België
http://www.wikidata.org/entity/Q115818424,Achiel Piepers,,Kuurne,België,Ardooie,België,,,Moeskroen,België
http://www.wikidata.org/entity/Q115818424,Achiel Piepers,,Kuurne,België,Ardooie,België,,,Ardooie,België
http://www.wikidata.org/entity/Q115818424,Achiel Piepers,,Kuurne,België,Ardooie,België,,,De Panne,België
http://www.wikidata.org/entity/Q119013873,Achiel Van de Putte,,Rollegem-Kapelle,België,Veurne,België,,,Oostende,België
http://www.wikidata.org/entity/Q119013873,Achiel Van de Putte,,Rollegem-Kapelle,België,Veurne,België,,,Roeselare,België
http://www.wikidata.org/entity/Q119013873,Achiel Van de Putte,,Rollegem-Kapelle,België,Veurne,België,,,Veurne,België
http://www.wikidata.org/entity/Q119013873,Achiel Van de Putte,,Rollegem-Kapelle,België,Veurne,België,,,Nieuwpoort,België
http://www.wikidata.org/entity/Q119013873,Achiel Van de Putte,,Rollegem-Kapelle,België,Veurne,België,,,Koolkerke,België
http://www.wikidata.org/entity/Q119217729,Achille Croquison,,Kortrijk,België,Kortrijk,België,,,,
http://www.wikidata.org/entity/Q115834468,Achilles Bohyn,,Kruishoutem,België,Oostwinkel,België,,,Oostwinkel,België
http://www.wikidata.org/entity/Q115834468,Achilles Bohyn,,Kruishoutem,België,Oostwinkel,België,,,Ronse,België
http://www.wikidata.org/entity/Q115834468,Achilles Bohyn,,Kruishoutem,België,Oostwinkel,België,,,Oostakker,België
http://www.wikidata.org/entity/Q115834468,Achilles Bohyn,,Kruishoutem,België,Oostwinkel,België,,,Maria-Aalter,België
http://www.wikidata.org/entity/Q123417058,Adela Pauline Courtens,,Harelbeke,België,Harelbeke,België,,,Harelbeke,België
http://www.wikidata.org/entity/Q125306156,Adelaida Antonia Vuylsteke,,Menen,België,Kortrijk,België,Kortrijk,België,,
http://www.wikidata.org/entity/Q113754119,Adolf De Wolf,,Brugge,België,,,,,,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Duclos001.jpg,Brugge,België,Brugge,België,,,Brugge,België
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Duclos001.jpg,Brugge,België,Brugge,België,,,Ieper,België
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Duclos001.jpg,Brugge,België,Brugge,België,,,Torhout,België
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Duclos001.jpg,Brugge,België,Brugge,België,,,Pervijze,België
http://www.wikidata.org/entity/Q4722117,Adolf Lootens,,Brugge,België,Highgate,Verenigd Koninkrijk,,,Londen,Verenigd Koninkrijk
http://www.wikidata.org/entity/Q4722117,Adolf Lootens,,Brugge,België,Highgate,Verenigd Koninkrijk,,,Brugge,België
http://www.wikidata.org/entity/Q43140929,Adolf Pauwels,,Berchem,België,Antwerpen,België,,,,
http://www.wikidata.org/entity/Q100534520,Adolf Verriest,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Karel%20vader%20Petrus%20moeder%20Carolina%20Verriest%20in%201861.jpg,Deerlijk,België,Kortrijk,België,,,Kortrijk,België
http://www.wikidata.org/entity/Q5580544,Adrianus Bogaers,http://commons.wikimedia.org/wiki/Special:FilePath/Adrianus%20Bogaers.jpg,Den Haag,Nederland,Spa,België,,,,
http://www.wikidata.org/entity/Q123051567,Agnes Cecilia Young,,,,,,,,,
http://www.wikidata.org/entity/Q116687284,Agnes Mary Christophers,,St Pancras,Verenigd Koninkrijk,,,Hammersmith,Verenigd Koninkrijk,,
http://www.wikidata.org/entity/Q116687284,Agnes Mary Christophers,,St Pancras,Verenigd Koninkrijk,,,Brighton,Verenigd Koninkrijk,,
http://www.wikidata.org/entity/Q116687284,Agnes Mary Christophers,,St Pancras,Verenigd Koninkrijk,,,Paddington,Verenigd Koninkrijk,,
http://www.wikidata.org/entity/Q116687284,Agnes Mary Christophers,,St Pancras,Verenigd Koninkrijk,,,Southampton,Verenigd Koninkrijk,,
http://www.wikidata.org/entity/Q115814290,Aimé Erneste Marie Dierick,,Izegem,België,Harelbeke,België,,,Roeselare,België
http://www.wikidata.org/entity/Q115814290,Aimé Erneste Marie Dierick,,Izegem,België,Harelbeke,België,,,Izegem,België
http://www.wikidata.org/entity/Q115814290,Aimé Erneste Marie Dierick,,Izegem,België,Harelbeke,België,,,Harelbeke,België
http://www.wikidata.org/entity/Q115814290,Aimé Erneste Marie Dierick,,Izegem,België,Harelbeke,België,,,Moorslede,België
http://www.wikidata.org/entity/Q115814290,Aimé Erneste Marie Dierick,,Izegem,België,Harelbeke,België,,,Heule,België
http://www.wikidata.org/entity/Q115834690,Aimé Lagae,,Heule,België,Brugge,België,,,Brugge,België
http://www.wikidata.org/entity/Q115834690,Aimé Lagae,,Heule,België,Brugge,België,,,Roeselare,België
http://www.wikidata.org/entity/Q15627098,Albany James Christie,,Southwark,Verenigd Koninkrijk,Groot-Londen,Verenigd Koninkrijk,,,,
http://www.wikidata.org/entity/Q15627098,Albany James Christie,,Groot-Londen,Verenigd Koninkrijk,Groot-Londen,Verenigd Koninkrijk,,,,
http://www.wikidata.org/entity/Q118772822,Albert Aimé Marie Vandewalle,,,,,,Izegem,België,,
http://www.wikidata.org/entity/Q118772822,Albert Aimé Marie Vandewalle,,,,,,Schaarbeek,België,,
http://www.wikidata.org/entity/Q586323,Albert Verwey,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Albert%20Verwey%20Rijksmuseum%20SK-C-1680.jpeg,Amsterdam,Nederland,Noordwijk aan Zee,Nederland,,,Amsterdam,Nederland
http://www.wikidata.org/entity/Q586323,Albert Verwey,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Albert%20Verwey%20Rijksmuseum%20SK-C-1680.jpeg,Amsterdam,Nederland,Noordwijk aan Zee,Nederland,,,Leiden,Nederland
http://www.wikidata.org/entity/Q2832059,Albéric Emmanuel Henri Marie Ghislain Ruzette,http://commons.wikimedia.org/wiki/Special:FilePath/Weekblad%20Pallieter%20-%20voorpagina%201924%2023%20baron%20ruzette.jpg,Sint-Joost-ten-Node,België,Brugge,België,,,Brugge,België
http://www.wikidata.org/entity/Q56036018,Alexandre Bonvarlet,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Bonvarlet%20by%20Michel%20Berthaud.jpg,Duinkerke,Frankrijk,Nieuw-Koudekerke,Frankrijk,,,,
http://www.wikidata.org/entity/Q125490771,Alexandre Marie Ghislain Gillès de Pélichy,,Antwerpen,België,Brugge,België,Izegem,België,,
http://www.wikidata.org/entity/Q125490771,Alexandre Marie Ghislain Gillès de Pélichy,,Antwerpen,België,Brugge,België,Antwerpen,België,,
http://www.wikidata.org/entity/Q2332586,Alexis De Carne,,Stavele,België,Roeselare,België,,,Roeselare,België
http://www.wikidata.org/entity/Q119729450,Alfons Algoet,,Brugge,België,Brugge,België,,,,
http://www.wikidata.org/entity/Q118142378,Alfons Bouckaert,,Beveren,België,Torhout,België,,,Brugge,België
http://www.wikidata.org/entity/Q118142378,Alfons Bouckaert,,Beveren,België,Torhout,België,,,Torhout,België
http://www.wikidata.org/entity/Q110039191,Alfons Dassonville,,Heule,België,Kortrijk,België,,,Madrid,Spanje
http://www.wikidata.org/entity/Q110039191,Alfons Dassonville,,Heule,België,Kortrijk,België,,,Brugge,België
http://www.wikidata.org/entity/Q110039191,Alfons Dassonville,,Heule,België,Kortrijk,België,,,Kortrijk,België
http://www.wikidata.org/entity/Q110039191,Alfons Dassonville,,Heule,België,Kortrijk,België,,,Oostende,België
http://www.wikidata.org/entity/Q110039191,Alfons Dassonville,,Heule,België,Kortrijk,België,,,Ieper,België
http://www.wikidata.org/entity/Q110039191,Alfons Dassonville,,Heule,België,Kortrijk,België,,,Poperinge,België
http://www.wikidata.org/entity/Q110039191,Alfons Dassonville,,Heule,België,Kortrijk,België,,,Roesbrugge,België
http://www.wikidata.org/entity/Q2100582,Alfons De Cock,http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20de%20Cock%2C%20PA05233.jpg,Herdersem,België,Antwerpen,België,,,Denderleeuw,België
http://www.wikidata.org/entity/Q2638823,Alfons Janssens,http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20Janssens.jpg,Sint-Niklaas,België,Luzern,Zwitserland,,,Sint-Niklaas,België
http://www.wikidata.org/entity/Q56036059,Alfons Maria Napoleon Prayon-van Zuylen van Nyevelt,,Gent,België,Twickenham,Verenigd Koninkrijk,Engeland,Verenigd Koninkrijk,Engeland,Verenigd Koninkrijk
http://www.wikidata.org/entity/Q56036059,Alfons Maria Napoleon Prayon-van Zuylen van Nyevelt,,Gent,België,Twickenham,Verenigd Koninkrijk,Engeland,Verenigd Koninkrijk,Gent,België
http://www.wikidata.org/entity/Q56036059,Alfons Maria Napoleon Prayon-van Zuylen van Nyevelt,,Gent,België,Twickenham,Verenigd Koninkrijk,Engeland,Verenigd Koninkrijk,Elsene,België
http://www.wikidata.org/entity/Q2675588,Alfons Mervillie,,Wontergem,België,Kortrijk,België,,,Torhout,België
http://www.wikidata.org/entity/Q2675588,Alfons Mervillie,,Wontergem,België,Kortrijk,België,,,Nieuwpoort,België
http://www.wikidata.org/entity/Q2675588,Alfons Mervillie,,Wontergem,België,Kortrijk,België,,,Nieuwkapelle,België
http://www.wikidata.org/entity/Q2675588,Alfons Mervillie,,Wontergem,België,Kortrijk,België,,,Aartrijke,België
http://www.wikidata.org/entity/Q2675588,Alfons Mervillie,,Wontergem,België,Kortrijk,België,,,Dudzele,België
http://www.wikidata.org/entity/Q2539969,Alfons Siffer,http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20Siffer%201850-1941.jpg,Zomergem,België,Gent,België,,,,
http://www.wikidata.org/entity/Q119621396,Alfons Steinmetz,,,,,,,,,
http://www.wikidata.org/entity/Q120973166,Alfons Van Doorne,,Poeke,België,Aalter,België,,,Lotenhulle,België
http://www.wikidata.org/entity/Q120973166,Alfons Van Doorne,,Poeke,België,Aalter,België,,,Poeke,België
http://www.wikidata.org/entity/Q2050293,Alfons Van Hee,,Lo-Reninge,België,Moere,België,,,Roeselare,België
http://www.wikidata.org/entity/Q2050293,Alfons Van Hee,,Lo-Reninge,België,Moere,België,,,Alveringem,België
http://www.wikidata.org/entity/Q2050293,Alfons Van Hee,,Lo-Reninge,België,Moere,België,,,Langemark,België
http://www.wikidata.org/entity/Q2050293,Alfons Van Hee,,Lo-Reninge,België,Moere,België,,,Moere,België
http://www.wikidata.org/entity/Q2050293,Alfons Van Hee,,Lo-Reninge,België,Moere,België,,,Wijtschate,België
http://www.wikidata.org/entity/Q26845752,Alfred Guichon de Grandpont,,Dijon,Frankrijk,Brest,Frankrijk,,,,
http://www.wikidata.org/entity/Q115820635,Alfred Neut,,Gent,België,Calcutta,India,,,Brits-Indië,Britse Rijk
http://www.wikidata.org/entity/Q115815697,Aloysius De Visschere,,Ruddervoorde,België,Emelgem,België,,,Torhout,België
http://www.wikidata.org/entity/Q115815697,Aloysius De Visschere,,Ruddervoorde,België,Emelgem,België,,,De Panne,België
http://www.wikidata.org/entity/Q115815697,Aloysius De Visschere,,Ruddervoorde,België,Emelgem,België,,,Ruiselede,België
http://www.wikidata.org/entity/Q115815697,Aloysius De Visschere,,Ruddervoorde,België,Emelgem,België,,,Emelgem,België
http://www.wikidata.org/entity/Q115833316,Aloysius Farasyn,,Lichtervelde,België,Heestert,België,,,Bredene,België
http://www.wikidata.org/entity/Q115833316,Aloysius Farasyn,,Lichtervelde,België,Heestert,België,,,Heestert,België
http://www.wikidata.org/entity/Q115833316,Aloysius Farasyn,,Lichtervelde,België,Heestert,België,,,Zerkegem,België
http://www.wikidata.org/entity/Q115833316,Aloysius Farasyn,,Lichtervelde,België,Heestert,België,,,Westvleteren,België
http://www.wikidata.org/entity/Q115833316,Aloysius Farasyn,,Lichtervelde,België,Heestert,België,,,Gits,België
http://www.wikidata.org/entity/Q115979418,Aloysius Vandemaele,,Zwevegem,België,Asper,België,,,Brugge,België
http://www.wikidata.org/entity/Q115979418,Aloysius Vandemaele,,Zwevegem,België,Asper,België,,,Kortrijk,België
http://www.wikidata.org/entity/Q115979418,Aloysius Vandemaele,,Zwevegem,België,Asper,België,,,Poperinge,België
http://www.wikidata.org/entity/Q115979418,Aloysius Vandemaele,,Zwevegem,België,Asper,België,,,Tielt,België
http://www.wikidata.org/entity/Q115979418,Aloysius Vandemaele,,Zwevegem,België,Asper,België,,,Oostrozebeke,België
http://www.wikidata.org/entity/Q115979418,Aloysius Vandemaele,,Zwevegem,België,Asper,België,,,Lauwe,België
http://www.wikidata.org/entity/Q115979418,Aloysius Vandemaele,,Zwevegem,België,Asper,België,,,Oostduinkerke,België
http://www.wikidata.org/entity/Q115821483,Aloïs Baelen,,Poperinge,België,Kortrijk,België,,,Kortrijk,België
http://www.wikidata.org/entity/Q115821483,Aloïs Baelen,,Poperinge,België,Kortrijk,België,,,Poperinge,België
http://www.wikidata.org/entity/Q115821483,Aloïs Baelen,,Poperinge,België,Kortrijk,België,,,Oekene,België
http://www.wikidata.org/entity/Q115821483,Aloïs Baelen,,Poperinge,België,Kortrijk,België,,,Tielt,België
http://www.wikidata.org/entity/Q2580620,Aloïs Nelis,,Antwerpen,België,Leuven,België,,,Antwerpen,België
http://www.wikidata.org/entity/Q2580620,Aloïs Nelis,,Antwerpen,België,Leuven,België,,,Brugge,België
http://www.wikidata.org/entity/Q2580620,Aloïs Nelis,,Antwerpen,België,Leuven,België,,,Hasselt,België
http://www.wikidata.org/entity/Q2580620,Aloïs Nelis,,Antwerpen,België,Leuven,België,,,Leuven,België
http://www.wikidata.org/entity/Q119013806,Aloïs Van de Pitte,,Brugge,België,Brugge,België,,,,
http://www.wikidata.org/entity/Q2298746,Aloïs Walgrave,,Gent,België,Brugge,België,,,Leuven,België
http://www.wikidata.org/entity/Q2298746,Aloïs Walgrave,,Gent,België,Brugge,België,,,Mechelen,België
http://www.wikidata.org/entity/Q2298746,Aloïs Walgrave,,Gent,België,Brugge,België,,,Hoogstraten,België
http://www.wikidata.org/entity/Q2298746,Aloïs Walgrave,,Gent,België,Brugge,België,,,Vollezele,België
http://www.wikidata.org/entity/Q2450554,Alphonse De Leyn,,Brugge,België,Brugge,België,,,Brugge,België
http://www.wikidata.org/entity/Q2450554,Alphonse De Leyn,,Brugge,België,Brugge,België,,,Roeselare,België
http://www.wikidata.org/entity/Q11071766,Alphonse de Voss,,Mesen,België,China,,Melton Mowbray,Verenigd Koninkrijk,,
http://www.wikidata.org/entity/Q11071766,Alphonse de Voss,,Mesen,België,China,,Glossop,Verenigd Koninkrijk,,
http://www.wikidata.org/entity/Q11071766,Alphonse de Voss,,Mesen,België,China,,China,,,
http://www.wikidata.org/entity/Q11071766,Alphonse de Voss,,Mesen,België,China,,Groot-Brittannië,Verenigd Koninkrijk,,
http://www.wikidata.org/entity/Q11071766,Alphonse de Voss,,Frankrijk,Frankrijk,China,,Melton Mowbray,Verenigd Koninkrijk,,
http://www.wikidata.org/entity/Q11071766,Alphonse de Voss,,Frankrijk,Frankrijk,China,,Glossop,Verenigd Koninkrijk,,
http://www.wikidata.org/entity/Q11071766,Alphonse de Voss,,Frankrijk,Frankrijk,China,,China,,,
http://www.wikidata.org/entity/Q11071766,Alphonse de Voss,,Frankrijk,Frankrijk,China,,Groot-Brittannië,Verenigd Koninkrijk,,
http://www.wikidata.org/entity/Q2099446,Amaat Joos,http://commons.wikimedia.org/wiki/Special:FilePath/Amaat%20Joos.jpg,Hamme,België,Gent,België,,,Sint-Niklaas,België
http://www.wikidata.org/entity/Q2099446,Amaat Joos,http://commons.wikimedia.org/wiki/Special:FilePath/Amaat%20Joos.jpg,Hamme,België,Gent,België,,,Ronse,België
