source,target,Type,Weight,relationshipType
Q1425428,Q145,Undirected,1,In Land
Q5125864,Q145,Undirected,1,In Land
Q5688340,Q145,Undirected,1,In Land
Q67574558,Q145,Undirected,1,In Land
Q7650196,Q145,Undirected,1,In Land
Q7683408,Q833,Undirected,1,In Land
Q1809061,Q55,Undirected,1,In Land
Q2766547,Q55,Undirected,1,In Land
Q2603716,Q31,Undirected,1,In Land
Q13121,Q31,Undirected,1,In Land
Q300970,Q31,Undirected,1,In Land
Q955,Q55,Undirected,1,In Land
Q273442,Q31,Undirected,1,In Land
Q2750562,Q31,Undirected,1,In Land
Q2751461,Q31,Undirected,1,In Land
Q95096,Q31,Undirected,1,In Land
Q36405,Q145,Undirected,1,In Land
Q1622949,Q145,Undirected,1,In Land
Q115818424,Q639974,Undirected,1,Sterfteplaats
Q115818424,Q639974,Undirected,1,Werklocatie
Q115818424,Q12994,Undirected,1,Werklocatie
Q115818424,Q674954,Undirected,1,Werklocatie
Q115818424,Q12995,Undirected,1,Werklocatie
Q115818424,Q731501,Undirected,1,Geboorteplaats
Q115818424,Q220145,Undirected,1,Werklocatie
Q115818424,Q12996,Undirected,1,Werklocatie
Q119013873,Q2746117,Undirected,1,Werklocatie
Q119013873,Q623310,Undirected,1,Werklocatie
Q119013873,Q12996,Undirected,1,Werklocatie
Q119013873,Q211037,Undirected,1,Werklocatie
Q119013873,Q2352516,Undirected,1,Geboorteplaats
Q119013873,Q506707,Undirected,1,Sterfteplaats
Q119013873,Q506707,Undirected,1,Werklocatie
Q119217729,Q12995,Undirected,1,Geboorteplaats
Q119217729,Q12995,Undirected,1,Sterfteplaats
Q115834468,Q817375,Undirected,1,Geboorteplaats
Q115834468,Q13815099,Undirected,1,Werklocatie
Q115834468,Q2400293,Undirected,1,Werklocatie
Q115834468,Q14988,Undirected,1,Werklocatie
Q115834468,Q14988,Undirected,1,Sterfteplaats
Q115834468,Q268219,Undirected,1,Werklocatie
Q123417058,Q478797,Undirected,1,Geboorteplaats
Q123417058,Q478797,Undirected,1,Sterfteplaats
Q123417058,Q478797,Undirected,1,Werklocatie
Q125306156,Q12995,Undirected,1,Sterfteplaats
Q125306156,Q12995,Undirected,1,Woonplaats
Q125306156,Q213224,Undirected,1,Geboorteplaats
Q301745,Q31,Undirected,1,In Land
Q113754119,Q12994,Undirected,1,Geboorteplaats
Q2524668,Q12994,Undirected,1,Sterfteplaats
Q2524668,Q12994,Undirected,1,Werklocatie
Q2524668,Q12994,Undirected,1,Geboorteplaats
Q2524668,Q102728,Undirected,1,Werklocatie
Q2524668,Q2053561,Undirected,1,Werklocatie
Q2524668,Q270633,Undirected,1,Werklocatie
Q4722117,Q12994,Undirected,1,Werklocatie
Q4722117,Q12994,Undirected,1,Geboorteplaats
Q4722117,Q123947,Undirected,1,Sterfteplaats
Q4722117,Q84,Undirected,1,Werklocatie
Q43140929,Q12892,Undirected,1,Sterfteplaats
Q43140929,Q818804,Undirected,1,Geboorteplaats
Q100534520,Q21768611,Undirected,1,Geboorteplaats
Q100534520,Q21767298,Undirected,1,Sterfteplaats
Q100534520,Q12995,Undirected,1,Werklocatie
Q5580544,Q36600,Undirected,1,Geboorteplaats
Q5580544,Q39865,Undirected,1,Sterfteplaats
Q116687284,Q131491,Undirected,1,Woonplaats
Q116687284,Q277162,Undirected,1,Woonplaats
Q116687284,Q124230,Undirected,1,Woonplaats
Q116687284,Q79848,Undirected,1,Woonplaats
Q116687284,Q2065416,Undirected,1,Geboorteplaats
