ID,Label,Type,Image,birthPlaceLabel,copybirthplace,coordinate location,coordinate location 1,Final Latitude,coordinate location 2,Final Longitude,birthCountryLabel,deathPlaceLabel,deathCountryLabel,Samengestelde werkplaatsen,Samengestelde woonplaatsen,Bijhorendland,BijhorendlandLabel,CopyID,Latitude,Longitude
Q115818424,Achiel Piepers,Person,,Kuurne,Kuurne,"50.8519,3.2861",50.8519,50.8519,3.2861,3.2861,België,Ardooie,België,,,,,Q115818424,,
Q119013873,Achiel Van de Putte,Person,,Rollegem-Kapelle,Rollegem-Kapelle,"50.8683,3.1456",50.8683,50.8683,3.1456,3.1456,België,Veurne,België,,,,,Q119013873,,
Q119217729,Achille Croquison,Person,,Kortrijk,Kortrijk,"50.8275,3.265833333333333",50.8275,50.8275,3.265833333333333,3.265833333333333,België,Kortrijk,België,,,,,Q119217729,,
Q115834468,Achilles Bohyn,Person,,Kruishoutem,Kruishoutem,"50.9,3.5333333333333",50.9,50.9,3.5333333333333,3.5333333333333,België,Oostwinkel,België,,,,,Q115834468,,
Q123417058,Adela Pauline Courtens,Person,,Harelbeke,Harelbeke,"50.8567,3.3131",50.8567,50.8567,3.3131,3.3131,België,Harelbeke,België,,,,,Q123417058,,
Q125306156,Adelaida Antonia Vuylsteke,Person,,Menen,Menen,"50.795555555556,3.1216666666667",50.795555555556,50.795555555556,3.1216666666667,3.1216666666667,België,Kortrijk,België,,,,,Q125306156,,
Q113754119,Adolf De Wolf,Person,,Brugge,Bruges,"51.208888888888886,3.2241666666666666",51.208888888888886,51.208888888888886,3.2241666666666666,3.2241666666666666,België,,,,,,,Q113754119,,
Q2524668,Adolf Duclos,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Duclos001.jpg,Brugge,Bruges,"51.208888888888886,3.2241666666666666",51.208888888888886,51.208888888888886,3.2241666666666666,3.2241666666666666,België,Brugge,België,,,,,Q2524668,,
Q4722117,Adolf Lootens,Person,,Brugge,Bruges,"51.208888888888886,3.2241666666666666",51.208888888888886,51.208888888888886,3.2241666666666666,3.2241666666666666,België,Highgate,Verenigd Koninkrijk,,,,,Q4722117,,
Q43140929,Adolf Pauwels,Person,,Berchem,Bergheim,"50.95406111111111,6.641238888888889",50.95406111111111,50.95406111111111,6.641238888888889,6.641238888888889,België,Antwerpen,België,,,,,Q43140929,,
Q100534520,Adolf Verriest,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Karel%20vader%20Petrus%20moeder%20Carolina%20Verriest%20in%201861.jpg,Deerlijk,Deerlijk,"50.8533,3.3533",50.8533,50.8533,3.3533,3.3533,België,Kortrijk,België,,,,,Q100534520,,
Q5580544,Adrianus Bogaers,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Adrianus%20Bogaers.jpg,Den Haag,The Hague,"52.08,4.31",52.08,52.08,4.31,4.31,Nederland,Spa,België,,,,,Q5580544,,
Q123051567,Agnes Cecilia Young,Person,,,,,,,,,,,,,,,,Q123051567,,
Q116687284,Agnes Mary Christophers,Person,,St Pancras,London Borough of Camden,"51.54277777777778,-0.15944444444444444",51.54277777777778,51.54277777777778,-0.15944444444444444,-0.15944444444444444,Verenigd Koninkrijk,,,,,,,Q116687284,,
Q115814290,Aimé Erneste Marie Dierick,Person,,Izegem,Izegem,"50.9172,3.215",50.9172,50.9172,3.215,3.215,België,Harelbeke,België,,,,,Q115814290,,
Q115834690,Aimé Lagae,Person,,Heule,Heule,"50.8428,3.2353",50.8428,50.8428,3.2353,3.2353,België,Brugge,België,,,,,Q115834690,,
Q15627098,Albany James Christie,Person,,Southwark,London Borough of Southwark,"51.503333333333,-0.080555555555556",51.503333333333,51.503333333333,-0.080555555555556,-0.080555555555556,Verenigd Koninkrijk,Groot-Londen,Verenigd Koninkrijk,,,,,Q15627098,,
Q15627098,Albany James Christie,Person,,Groot-Londen,Greater London,"51.5,-0.083333333333333",51.5,51.5,-0.083333333333333,-0.083333333333333,Verenigd Koninkrijk,Groot-Londen,Verenigd Koninkrijk,,,,,Q15627098,,
Q118772822,Albert Aimé Marie Vandewalle,Person,,,,,,,,,,,,,,,,Q118772822,,
Q586323,Albert Verwey,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Albert%20Verwey%20Rijksmuseum%20SK-C-1680.jpeg,Amsterdam,Amsterdam,"52.36666666666667,4.883333333333333",52.36666666666667,52.36666666666667,4.883333333333333,4.883333333333333,Nederland,Noordwijk aan Zee,Nederland,,,,,Q586323,,
Q2832059,Albéric Emmanuel Henri Marie Ghislain Ruzette,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Weekblad%20Pallieter%20-%20voorpagina%201924%2023%20baron%20ruzette.jpg,Sint-Joost-ten-Node,Saint-Josse-ten-Noode,"50.850833333333334,4.369166666666667",50.850833333333334,50.850833333333334,4.369166666666667,4.369166666666667,België,Brugge,België,,,,,Q2832059,,
Q56036018,Alexandre Bonvarlet,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Bonvarlet%20by%20Michel%20Berthaud.jpg,Duinkerke,Dunkirk,"51.037777777778,2.3763888888889",51.037777777778,51.037777777778,2.3763888888889,2.3763888888889,Frankrijk,Nieuw-Koudekerke,Frankrijk,,,,,Q56036018,,
Q125490771,Alexandre Marie Ghislain Gillès de Pélichy,Person,,Antwerpen,Province of Antwerp,"51.216666666667,4.4166666666667",51.216666666667,51.216666666667,4.4166666666667,4.4166666666667,België,Brugge,België,,,,,Q125490771,,
Q2332586,Alexis De Carne,Person,,Stavele,Alveringem,"51.0111,2.7108",51.0111,51.0111,2.7108,2.7108,België,Roeselare,België,,,,,Q2332586,,
Q119729450,Alfons Algoet,Person,,Brugge,Bruges,"51.208888888888886,3.2241666666666666",51.208888888888886,51.208888888888886,3.2241666666666666,3.2241666666666666,België,Brugge,België,,,,,Q119729450,,
Q118142378,Alfons Bouckaert,Person,,Beveren,Beveren,"51.2,4.25",51.2,51.2,4.25,4.25,België,Torhout,België,,,,,Q118142378,,
Q110039191,Alfons Dassonville,Person,,Heule,Heule,"50.8428,3.2353",50.8428,50.8428,3.2353,3.2353,België,Kortrijk,België,,,,,Q110039191,,
Q2100582,Alfons De Cock,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20de%20Cock%2C%20PA05233.jpg,Herdersem,Herdersem,"50.9714,4.0672",50.9714,50.9714,4.0672,4.0672,België,Antwerpen,België,,,,,Q2100582,,
Q2638823,Alfons Janssens,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20Janssens.jpg,Sint-Niklaas,Sint-Niklaas,"51.164444444444,4.1391666666667",51.164444444444,51.164444444444,4.1391666666667,4.1391666666667,België,Luzern,Zwitserland,,,,,Q2638823,,
Q56036059,Alfons Maria Napoleon Prayon-van Zuylen van Nyevelt,Person,,Gent,Ghent,"51.05361111111111,3.725277777777778",51.05361111111111,51.05361111111111,3.725277777777778,3.725277777777778,België,Twickenham,Verenigd Koninkrijk,,,,,Q56036059,,
Q2675588,Alfons Mervillie,Person,,Wontergem,Wontergem,"50.9794,3.4444",50.9794,50.9794,3.4444,3.4444,België,Kortrijk,België,,,,,Q2675588,,
Q2539969,Alfons Siffer,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20Siffer%201850-1941.jpg,Zomergem,Zomergem,"51.116666666667,3.5666666666667",51.116666666667,51.116666666667,3.5666666666667,3.5666666666667,België,Gent,België,,,,,Q2539969,,
Q119621396,Alfons Steinmetz,Person,,,,,,,,,,,,,,,,Q119621396,,
Q120973166,Alfons Van Doorne,Person,,Poeke,Poeke,"51.0411,3.4436",51.0411,51.0411,3.4436,3.4436,België,Aalter,België,,,,,Q120973166,,
Q2050293,Alfons Van Hee,Person,,Lo-Reninge,Lo-Reninge,"50.983333333333,2.75",50.983333333333,50.983333333333,2.75,2.75,België,Moere,België,,,,,Q2050293,,
Q26845752,Alfred Guichon de Grandpont,Person,,Dijon,Dijon,"47.323055555556,5.0419444444444",47.323055555556,47.323055555556,5.0419444444444,5.0419444444444,Frankrijk,Brest,Frankrijk,,,,,Q26845752,,
Q115820635,Alfred Neut,Person,,Gent,Ghent,"51.05361111111111,3.725277777777778",51.05361111111111,51.05361111111111,3.725277777777778,3.725277777777778,België,Calcutta,India,,,,,Q115820635,,
Q115815697,Aloysius De Visschere,Person,,Ruddervoorde,Ruddervoorde,"51.0956,3.2056",51.0956,51.0956,3.2056,3.2056,België,Emelgem,België,,,,,Q115815697,,
Q115833316,Aloysius Farasyn,Person,,Lichtervelde,Lichtervelde,"51.033333333333,3.1333333333333",51.033333333333,51.033333333333,3.1333333333333,3.1333333333333,België,Heestert,België,,,,,Q115833316,,
Q115979418,Aloysius Vandemaele,Person,,Zwevegem,Zwevegem,"50.8,3.3333333333333",50.8,50.8,3.3333333333333,3.3333333333333,België,Asper,België,,,,,Q115979418,,
Q115821483,Aloïs Baelen,Person,,Poperinge,Poperinge,"50.8547,2.7256",50.8547,50.8547,2.7256,2.7256,België,Kortrijk,België,,,,,Q115821483,,
Q2580620,Aloïs Nelis,Person,,Antwerpen,Province of Antwerp,"51.216666666667,4.4166666666667",51.216666666667,51.216666666667,4.4166666666667,4.4166666666667,België,Leuven,België,,,,,Q2580620,,
Q119013806,Aloïs Van de Pitte,Person,,Brugge,Bruges,"51.208888888888886,3.2241666666666666",51.208888888888886,51.208888888888886,3.2241666666666666,3.2241666666666666,België,Brugge,België,,,,,Q119013806,,
Q2298746,Aloïs Walgrave,Person,,Gent,Ghent,"51.05361111111111,3.725277777777778",51.05361111111111,51.05361111111111,3.725277777777778,3.725277777777778,België,Brugge,België,,,,,Q2298746,,
Q2450554,Alphonse De Leyn,Person,,Brugge,Bruges,"51.208888888888886,3.2241666666666666",51.208888888888886,51.208888888888886,3.2241666666666666,3.2241666666666666,België,Brugge,België,,,,,Q2450554,,
Q11071766,Alphonse de Voss,Person,,Mesen,Mesen,"50.766666666667,2.9",50.766666666667,50.766666666667,2.9,2.9,België,China,,,,,,Q11071766,,
Q11071766,Alphonse de Voss,Person,,Frankrijk,France,"47,2",47,47,2,2,Frankrijk,China,,,,,,Q11071766,,
Q2099446,Amaat Joos,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Amaat%20Joos.jpg,Hamme,Hamme,"51.0919,4.1356",51.0919,51.0919,4.1356,4.1356,België,Gent,België,,,,,Q2099446,,
