person,personLabel,relatieItemLabel,richting,wikidataLink,wikipediaLink,commonsLink,image,bioPortaalLink,viafLink
http://www.wikidata.org/entity/Q115818424,Achiel Piepers,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q115818424,,,,,
http://www.wikidata.org/entity/Q119013873,Achiel Van de Putte,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q119013873,,,,,
http://www.wikidata.org/entity/Q119217729,Achille Croquison,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q119217729,,,,,
http://www.wikidata.org/entity/Q115834468,Achilles Bohyn,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q115834468,,,,,
http://www.wikidata.org/entity/Q123417058,Adela Pauline Courtens,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q123417058,,,,,
http://www.wikidata.org/entity/Q125306156,Adelaida Antonia Vuylsteke,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q125306156,,,,,
http://www.wikidata.org/entity/Q113754119,Adolf De Wolf,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q113754119,https://nl.wikipedia.org/wiki/Adolf_De_Wolf,,,,
http://www.wikidata.org/entity/Q113754119,Adolf De Wolf,student,Guido naar Persoon,https://www.wikidata.org/wiki/Q113754119,https://nl.wikipedia.org/wiki/Adolf_De_Wolf,,,,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q2524668,https://nl.wikipedia.org/wiki/Adolf_Duclos,https://commons.wikimedia.org/wiki/Category:Adolf Duclos,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Duclos001.jpg,,https://viaf.org/viaf/89293479
http://www.wikidata.org/entity/Q4722117,Adolf Lootens,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q4722117,https://nl.wikipedia.org/wiki/Adolf_Lootens,,,,https://viaf.org/viaf/281835917
http://www.wikidata.org/entity/Q43140929,Adolf Pauwels,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q43140929,,,,,https://viaf.org/viaf/27812240
http://www.wikidata.org/entity/Q100534520,Adolf Verriest,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q100534520,https://nl.wikipedia.org/wiki/Adolf_Verriest,,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Karel%20vader%20Petrus%20moeder%20Carolina%20Verriest%20in%201861.jpg,,
http://www.wikidata.org/entity/Q5580544,Adrianus Bogaers,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q5580544,,https://commons.wikimedia.org/wiki/Category:Adrianus Bogaers,http://commons.wikimedia.org/wiki/Special:FilePath/Adrianus%20Bogaers.jpg,,https://viaf.org/viaf/282197539
http://www.wikidata.org/entity/Q136793932,Adèle Serweytens,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q136793932,,,,,
http://www.wikidata.org/entity/Q123051567,Agnes Cecilia Young,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q123051567,,,,,
http://www.wikidata.org/entity/Q115814290,Aimé Erneste Marie Dierick,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q115814290,,,,,
http://www.wikidata.org/entity/Q115834690,Aimé Lagae,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q115834690,,,,,
http://www.wikidata.org/entity/Q15627098,Albany James Christie,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q15627098,,,,,https://viaf.org/viaf/199151458
http://www.wikidata.org/entity/Q118772822,Albert Aimé Marie Vandewalle,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q118772822,,,,,
http://www.wikidata.org/entity/Q586323,Albert Verwey,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q586323,https://nl.wikipedia.org/wiki/Albert_Verwey,https://commons.wikimedia.org/wiki/Category:Albert Verwey,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Albert%20Verwey%20Rijksmuseum%20SK-C-1680.jpeg,,https://viaf.org/viaf/49275816
http://www.wikidata.org/entity/Q2129415,Albéric Goethals,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q2129415,https://nl.wikipedia.org/wiki/Alb%C3%A9ric_Goethals,,,,
http://www.wikidata.org/entity/Q115811921,Alexandre Berghman,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q115811921,,,,,
http://www.wikidata.org/entity/Q56036018,Alexandre Bonvarlet,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q56036018,,https://commons.wikimedia.org/wiki/Category:Alexandre Bonvarlet,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Bonvarlet%20by%20Michel%20Berthaud.jpg,,https://viaf.org/viaf/7516908
http://www.wikidata.org/entity/Q125490771,Alexandre Marie Ghislain Gillès de Pélichy,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q125490771,,,,,https://viaf.org/viaf/192623448
http://www.wikidata.org/entity/Q2332586,Alexis De Carne,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q2332586,https://nl.wikipedia.org/wiki/Alexis_De_Carne,,,,
http://www.wikidata.org/entity/Q119729450,Alfons Algoet,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q119729450,,,,,
http://www.wikidata.org/entity/Q118142378,Alfons Bouckaert,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q118142378,,,,,
http://www.wikidata.org/entity/Q110039191,Alfons Dassonville,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q110039191,,,,,
http://www.wikidata.org/entity/Q2100582,Alfons De Cock,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q2100582,https://nl.wikipedia.org/wiki/Alfons_de_Cock,https://commons.wikimedia.org/wiki/Category:Alfons De Cock,http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20de%20Cock%2C%20PA05233.jpg,,https://viaf.org/viaf/34816409
http://www.wikidata.org/entity/Q2638823,Alfons Janssens,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q2638823,https://nl.wikipedia.org/wiki/Alfons_Janssens_(politicus),https://commons.wikimedia.org/wiki/Category:Alfons Janssens,http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20Janssens.jpg,,
http://www.wikidata.org/entity/Q56036059,Alfons Maria Napoleon Prayon-van Zuylen van Nyevelt,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q56036059,,,,,https://viaf.org/viaf/89687993
http://www.wikidata.org/entity/Q2675588,Alfons Mervillie,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q2675588,https://nl.wikipedia.org/wiki/Alfons_Mervillie,https://commons.wikimedia.org/wiki/Category:Alfons Mervillie,,,https://viaf.org/viaf/306134590
http://www.wikidata.org/entity/Q2539969,Alfons Siffer,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q2539969,https://nl.wikipedia.org/wiki/Alfons_Siffer,,http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20Siffer%201850-1941.jpg,,https://viaf.org/viaf/193449593
http://www.wikidata.org/entity/Q119621396,Alfons Steinmetz,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q119621396,,,,,
http://www.wikidata.org/entity/Q120973166,Alfons Van Doorne,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q120973166,,,,,
http://www.wikidata.org/entity/Q2050293,Alfons Van Hee,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q2050293,https://nl.wikipedia.org/wiki/Alfons_Van_Hee,,,,
http://www.wikidata.org/entity/Q26845752,Alfred Guichon de Grandpont,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q26845752,,,,,https://viaf.org/viaf/88981493
http://www.wikidata.org/entity/Q115820635,Alfred Neut,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q115820635,,,,,
http://www.wikidata.org/entity/Q115815697,Aloysius De Visschere,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q115815697,,,,,
http://www.wikidata.org/entity/Q115833316,Aloysius Farasyn,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q115833316,,,,,
http://www.wikidata.org/entity/Q115979418,Aloysius Vandemaele,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q115979418,,,,,
http://www.wikidata.org/entity/Q115979418,Aloysius Vandemaele,student,Guido naar Persoon,https://www.wikidata.org/wiki/Q115979418,,,,,
http://www.wikidata.org/entity/Q115821483,Aloïs Baelen,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q115821483,,,,,
http://www.wikidata.org/entity/Q2580620,Aloïs Nelis,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q2580620,https://nl.wikipedia.org/wiki/Alo%C3%AFs_Nelis,,,,
http://www.wikidata.org/entity/Q119013806,Aloïs Van de Pitte,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q119013806,,,,,
http://www.wikidata.org/entity/Q2298746,Aloïs Walgrave,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q2298746,https://nl.wikipedia.org/wiki/Alo%C3%AFs_Walgrave,https://commons.wikimedia.org/wiki/Category:Aloïs Walgrave,,,https://viaf.org/viaf/61918346
http://www.wikidata.org/entity/Q2450554,Alphonse De Leyn,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q2450554,https://nl.wikipedia.org/wiki/Alphonse_De_Leyn,,,,https://viaf.org/viaf/4993145857103622920901
http://www.wikidata.org/entity/Q136793801,Alphonse Marie Joseph Ghislain Antoine Maus,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q136793801,,,,,
http://www.wikidata.org/entity/Q11071766,Alphonse de Voss,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q11071766,,,,,
http://www.wikidata.org/entity/Q11071766,Alphonse de Voss,student,Guido naar Persoon,https://www.wikidata.org/wiki/Q11071766,,,,,
http://www.wikidata.org/entity/Q2099446,Amaat Joos,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q2099446,https://nl.wikipedia.org/wiki/Amaat_Joos,,http://commons.wikimedia.org/wiki/Special:FilePath/Amaat%20Joos.jpg,,https://viaf.org/viaf/290811985
http://www.wikidata.org/entity/Q3421496,Amaat Vyncke,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q3421496,https://nl.wikipedia.org/wiki/Amaat_Vyncke,https://commons.wikimedia.org/wiki/Category:Amaat Vyncke,http://commons.wikimedia.org/wiki/Special:FilePath/Amaat%20Vyncke.jpg,,https://viaf.org/viaf/286791405
http://www.wikidata.org/entity/Q970036,Amand Neut,relevant persoon,Guido naar Persoon,https://www.wikidata.org/wiki/Q970036,,,,,
