person,personLabel,relatieItemLabel,richting,wikidataLink,wikipediaLink,commonsLink,image,bioPortaalLink,viafLink
http://www.wikidata.org/entity/Q115818424,Achiel Piepers,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q115818424,,,,,
http://www.wikidata.org/entity/Q119013873,Achiel Van de Putte,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q119013873,,,,,
http://www.wikidata.org/entity/Q119217729,Achille Croquison,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q119217729,,,,,
http://www.wikidata.org/entity/Q113754119,Adolf De Wolf,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q113754119,https://nl.wikipedia.org/wiki/Adolf_De_Wolf,,,,
http://www.wikidata.org/entity/Q113754119,Adolf De Wolf,student van,Persoon naar Guido,https://www.wikidata.org/wiki/Q113754119,https://nl.wikipedia.org/wiki/Adolf_De_Wolf,,,,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q2524668,https://nl.wikipedia.org/wiki/Adolf_Duclos,https://commons.wikimedia.org/wiki/Category:Adolf Duclos,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Duclos001.jpg,,https://viaf.org/viaf/89293479
http://www.wikidata.org/entity/Q43140929,Adolf Pauwels,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q43140929,,,,,https://viaf.org/viaf/27812240
http://www.wikidata.org/entity/Q100534520,Adolf Verriest,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q100534520,https://nl.wikipedia.org/wiki/Adolf_Verriest,,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Karel%20vader%20Petrus%20moeder%20Carolina%20Verriest%20in%201861.jpg,,
http://www.wikidata.org/entity/Q136793932,Adèle Serweytens,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q136793932,,,,,
http://www.wikidata.org/entity/Q116687284,Agnes Mary Christophers,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q116687284,,,,,
http://www.wikidata.org/entity/Q118772822,Albert Aimé Marie Vandewalle,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q118772822,,,,,
http://www.wikidata.org/entity/Q586323,Albert Verwey,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q586323,https://nl.wikipedia.org/wiki/Albert_Verwey,https://commons.wikimedia.org/wiki/Category:Albert Verwey,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Albert%20Verwey%20Rijksmuseum%20SK-C-1680.jpeg,,https://viaf.org/viaf/49275816
http://www.wikidata.org/entity/Q2832059,Albéric Emmanuel Henri Marie Ghislain Ruzette,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q2832059,https://nl.wikipedia.org/wiki/Alb%C3%A9ric_Ruzette,https://commons.wikimedia.org/wiki/Category:Albéric Ruzette,http://commons.wikimedia.org/wiki/Special:FilePath/Weekblad%20Pallieter%20-%20voorpagina%201924%2023%20baron%20ruzette.jpg,,
