person,personLabel,kinshipItem,kinshipLabel,richting,wikidataLink,wikipediaLink,commonsLink,image,viafLink
http://www.wikidata.org/entity/Q116620739,Catherine de Kyvere,http://www.wikidata.org/entity/Q3433569,achterneef,Persoon naar Guido,https://www.wikidata.org/wiki/Q116620739,,,,
http://www.wikidata.org/entity/Q132134843,Marie Verhamme,http://www.wikidata.org/entity/Q3433569,achterneef,Persoon naar Guido,https://www.wikidata.org/wiki/Q132134843,,,,
http://www.wikidata.org/entity/Q125224053,Mathilde De Kyvere,http://www.wikidata.org/entity/Q3433569,achterneef,Persoon naar Guido,https://www.wikidata.org/wiki/Q125224053,,,,
http://www.wikidata.org/entity/Q119261055,Anna Theresia Morice,http://www.wikidata.org/entity/Q11921506,kleinzoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q119261055,,,,
http://www.wikidata.org/entity/Q119266430,Isabella Rosa De Riemaecker,http://www.wikidata.org/entity/Q11921506,kleinzoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q119266430,,,,
http://www.wikidata.org/entity/Q119265494,Jozef De Vriese,http://www.wikidata.org/entity/Q11921506,kleinzoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q119265494,,,,
http://www.wikidata.org/entity/Q119260284,Pieter Jozef Gezelle,http://www.wikidata.org/entity/Q11921506,kleinzoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q119260284,,,,
http://www.wikidata.org/entity/Q119349594,Amelia De Vriese,http://www.wikidata.org/entity/Q15224724,neef,Persoon naar Guido,https://www.wikidata.org/wiki/Q119349594,,,,
http://www.wikidata.org/entity/Q119409510,Barbe Theresia Malfait,http://www.wikidata.org/entity/Q15224724,neef,Persoon naar Guido,https://www.wikidata.org/wiki/Q119409510,,,,
http://www.wikidata.org/entity/Q119396425,Catharina Gezelle,http://www.wikidata.org/entity/Q15224724,neef,Persoon naar Guido,https://www.wikidata.org/wiki/Q119396425,,,,
http://www.wikidata.org/entity/Q119397002,Charles Louis Dedeurwaerder,http://www.wikidata.org/entity/Q15224724,neef,Persoon naar Guido,https://www.wikidata.org/wiki/Q119397002,,,,
http://www.wikidata.org/entity/Q119349274,Clara De Vriese,http://www.wikidata.org/entity/Q15224724,neef,Persoon naar Guido,https://www.wikidata.org/wiki/Q119349274,,,,
http://www.wikidata.org/entity/Q119349443,Coleta De Vriese,http://www.wikidata.org/entity/Q15224724,neef,Persoon naar Guido,https://www.wikidata.org/wiki/Q119349443,,,,
http://www.wikidata.org/entity/Q119410907,Constantia Franciscus Dilgat,http://www.wikidata.org/entity/Q15224724,neef,Persoon naar Guido,https://www.wikidata.org/wiki/Q119410907,,,,
http://www.wikidata.org/entity/Q119361924,Eugenius De Vriese,http://www.wikidata.org/entity/Q15224724,neef,Persoon naar Guido,https://www.wikidata.org/wiki/Q119361924,,,,
http://www.wikidata.org/entity/Q118309918,Georges Gezelle,http://www.wikidata.org/entity/Q15224724,neef,Persoon naar Guido,https://www.wikidata.org/wiki/Q118309918,,,,
http://www.wikidata.org/entity/Q119396286,Jacobus Gezelle,http://www.wikidata.org/entity/Q15224724,neef,Persoon naar Guido,https://www.wikidata.org/wiki/Q119396286,,,,
http://www.wikidata.org/entity/Q119349793,Josephus De Vriese,http://www.wikidata.org/entity/Q15224724,neef,Persoon naar Guido,https://www.wikidata.org/wiki/Q119349793,,,,
http://www.wikidata.org/entity/Q119362093,Karel De Vriese,http://www.wikidata.org/entity/Q15224724,neef,Persoon naar Guido,https://www.wikidata.org/wiki/Q119362093,,,,
http://www.wikidata.org/entity/Q119362208,Leon De Vriese,http://www.wikidata.org/entity/Q15224724,neef,Persoon naar Guido,https://www.wikidata.org/wiki/Q119362208,,,,
http://www.wikidata.org/entity/Q116621725,Maria Constantia Gezelle,http://www.wikidata.org/entity/Q15224724,neef,Persoon naar Guido,https://www.wikidata.org/wiki/Q116621725,,,,
http://www.wikidata.org/entity/Q116659577,Maria Josepha Gezelle,http://www.wikidata.org/entity/Q15224724,neef,Persoon naar Guido,https://www.wikidata.org/wiki/Q116659577,,,,
