lid,lidLabel,beroep,beroepLabel,imageLink
http://www.wikidata.org/entity/Q3166510,Johan Joseph Faict,http://www.wikidata.org/entity/Q1044528,vicaris-generaal,http://commons.wikimedia.org/wiki/Special:FilePath/Brugge%20-%20Bisschop%20Faict%20%281864-1894%29%20-%20Brugge%20-%20Belgi%C3%AB.jpg
http://www.wikidata.org/entity/Q378133,Hendrik Conscience,http://www.wikidata.org/entity/Q82955,politicus,http://commons.wikimedia.org/wiki/Special:FilePath/Hendrik%20Conscience.jpg
http://www.wikidata.org/entity/Q672816,Nicholas Wiseman,http://www.wikidata.org/entity/Q25393460,katholieke diaken,http://commons.wikimedia.org/wiki/Special:FilePath/Wiseman.jpg
http://www.wikidata.org/entity/Q1334711,Emmanuel Hiel,http://www.wikidata.org/entity/Q36180,schrijver,http://commons.wikimedia.org/wiki/Special:FilePath/Hiel%2C%20Emmanuel%20%281834-1899%29%3B%20dichter%20en%20schrijver%2C%20Nauwens%2C%20Joseph%2C%20Felixarchief%2C%2012%2012840.jpg
http://www.wikidata.org/entity/Q1334711,Emmanuel Hiel,http://www.wikidata.org/entity/Q49757,dichter,http://commons.wikimedia.org/wiki/Special:FilePath/Hiel%2C%20Emmanuel%20%281834-1899%29%3B%20dichter%20en%20schrijver%2C%20Nauwens%2C%20Joseph%2C%20Felixarchief%2C%2012%2012840.jpg
http://www.wikidata.org/entity/Q175669,Stijn Streuvels,http://www.wikidata.org/entity/Q28389,scenarioschrijver,http://commons.wikimedia.org/wiki/Special:FilePath/Stijn%20Streuvels%20by%20Modest%20Huys.jpg
http://www.wikidata.org/entity/Q175669,Stijn Streuvels,http://www.wikidata.org/entity/Q28389,scenarioschrijver,http://commons.wikimedia.org/wiki/Special:FilePath/Stijn%20Streuvels%20by%20Modest%20Huys%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q4902927,Edmond Van Hee,http://www.wikidata.org/entity/Q82955,politicus,
http://www.wikidata.org/entity/Q4902927,Edmond Van Hee,http://www.wikidata.org/entity/Q333634,vertaler,
http://www.wikidata.org/entity/Q175669,Stijn Streuvels,http://www.wikidata.org/entity/Q33231,fotograaf,http://commons.wikimedia.org/wiki/Special:FilePath/Stijn%20Streuvels%20by%20Modest%20Huys.jpg
http://www.wikidata.org/entity/Q175669,Stijn Streuvels,http://www.wikidata.org/entity/Q33231,fotograaf,http://commons.wikimedia.org/wiki/Special:FilePath/Stijn%20Streuvels%20by%20Modest%20Huys%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q2619202,Leopold Slosse,http://www.wikidata.org/entity/Q955464,pastoor,
http://www.wikidata.org/entity/Q2619202,Leopold Slosse,http://www.wikidata.org/entity/Q250867,katholiek priester,
http://www.wikidata.org/entity/Q2298746,Aloïs Walgrave,http://www.wikidata.org/entity/Q955464,pastoor,
http://www.wikidata.org/entity/Q2619202,Leopold Slosse,http://www.wikidata.org/entity/Q3243461,verzamelaar,
http://www.wikidata.org/entity/Q2619202,Leopold Slosse,http://www.wikidata.org/entity/Q2251335,leerkracht,
