source,sourceLabel,target,targetLabel,relationshipType
http://www.wikidata.org/entity/Q101254,Q101254,http://www.wikidata.org/entity/Q145,Verenigd Koninkrijk,In Land
http://www.wikidata.org/entity/Q1425428,Q1425428,http://www.wikidata.org/entity/Q145,Verenigd Koninkrijk,In Land
http://www.wikidata.org/entity/Q5125864,Q5125864,http://www.wikidata.org/entity/Q145,Verenigd Koninkrijk,In Land
http://www.wikidata.org/entity/Q5688340,Q5688340,http://www.wikidata.org/entity/Q145,Verenigd Koninkrijk,In Land
http://www.wikidata.org/entity/Q67574558,Q67574558,http://www.wikidata.org/entity/Q145,Verenigd Koninkrijk,In Land
http://www.wikidata.org/entity/Q7650196,Q7650196,http://www.wikidata.org/entity/Q145,Verenigd Koninkrijk,In Land
http://www.wikidata.org/entity/Q7683408,Q7683408,http://www.wikidata.org/entity/Q833,Maleisië,In Land
http://www.wikidata.org/entity/Q815948,Q815948,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q1809061,'s-Heer Abtskerke,http://www.wikidata.org/entity/Q55,Nederland,In Land
http://www.wikidata.org/entity/Q2766547,'s-Hertogenbosch,http://www.wikidata.org/entity/Q55,Nederland,In Land
http://www.wikidata.org/entity/Q2603716,Aalbeke,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q13121,Aalst,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q300970,Aalter,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q955,Aardenburg,http://www.wikidata.org/entity/Q55,Nederland,In Land
http://www.wikidata.org/entity/Q273442,Aarschot,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q2750562,Aarsele,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q2751461,Aartrijke,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q95096,Aat,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q36405,Aberdeen,http://www.wikidata.org/entity/Q145,Verenigd Koninkrijk,In Land
http://www.wikidata.org/entity/Q1622949,Accrington,http://www.wikidata.org/entity/Q145,Verenigd Koninkrijk,In Land
http://www.wikidata.org/entity/Q115818424,Achiel Piepers,http://www.wikidata.org/entity/Q639974,Ardooie,Sterfteplaats
http://www.wikidata.org/entity/Q115818424,Achiel Piepers,http://www.wikidata.org/entity/Q639974,Ardooie,Werklocatie
http://www.wikidata.org/entity/Q115818424,Achiel Piepers,http://www.wikidata.org/entity/Q12994,Brugge,Werklocatie
